Code,Name,Close,Changes,ChagesRatio,Volume,Marcap,ROA,PER
357230,에이치피오,7700,50,0.65,112149,160636776300,13.7,15.16
419080,엔젯,15270,110,0.73,241303,160607065590,3.0,
002620,제일파마홀딩스,10050,-10,-0.1,2721,160532217750,2.3,-2.61
900250,크리스탈신소재,1674,-29,-1.7,1044349,160521599286,4.8,18.69
018000,유니슨,1265,63,5.24,446495,159766977590,-8.6,-19.34
013310,아진산업,4115,-140,-3.29,631901,159689084930,5.6,8.18
000970,한국주철관,7000,80,1.16,21377,159603500000,3.7,10.75
348150,고바이오랩,8450,-360,-4.09,118816,159470157600,-9.2,-12.22
001360,삼성제약,2370,-40,-1.66,332025,159174127230,-11.1,-9.79
060560,홈센타홀딩스,1245,-12,-0.95,424329,158948558625,9.3,7.67
003580,HLB글로벌,3745,45,1.22,60796,158714122385,-18.4,-14.31
356680,엑스게이트,5570,250,4.7,2953069,158708750440,-22.6,
418470,밀리의서재,18900,360,1.94,505176,158538662100,21.2,
241820,피씨엘,3065,-25,-0.81,625164,157935490020,-36.7,-2.39
274090,켄코아에어로스페이스,12330,30,0.24,32234,157631713650,1.9,58.1
068790,DMS,6410,10,0.16,50545,157513321010,9.3,9.12
259630,엠플러스,12820,150,1.18,133863,157460393640,7.8,30.37
128820,대성산업,3480,-35,-1.0,203953,157419463440,0.6,-16.88
006620,동구바이오제약,5530,-90,-1.6,127111,157411405760,5.1,22.03
220260,켐트로스,5900,-70,-1.17,43254,156694011300,2.4,69.32
013570,디와이,5950,-20,-0.34,137744,156601816350,4.1,-123.04
066790,씨씨에스,2795,-95,-3.29,7858576,156590031520,2.1,32.37
033920,무학,5490,10,0.18,44741,156465000000,15.5,2.7
068290,삼성출판사,15640,-120,-0.76,57620,156400000000,4.5,13.61
000700,유수홀딩스,6000,0,0.0,4197,156250872000,5.4,8.52
251630,브이원텍,9790,70,0.72,223039,156080853940,-2.5,-634.84
382900,범한퓨얼셀,17800,-150,-0.84,29795,155945800000,0.3,294.35
290550,디케이티,8350,100,1.21,34472,155880897850,-2.9,72.69
012700,리드코프,5880,90,1.55,44058,155503273800,0.8,29.27
093520,매커스,9610,-180,-1.84,28881,155327314120,7.6,7.05
012610,경인양행,3725,-5,-0.13,18884,155020959625,-0.8,-27.95
311320,지오엘리먼트,12270,10,0.08,40790,154780651200,1.8,86.38
396470,워트,9600,-420,-4.19,570540,154752000000,6.8,
228850,레이언스,9320,0,0.0,17775,154628250480,6.8,9.25
